Individual,Group,task 2,Number of touches to pass task 2,Number of session to pass task 2,task 3,Number of touches to pass task 3,Number of session to pass task 3
Gilane,AK,yes,1185,37,yes,32,2
Ginqika,AK,yes,138,7,yes,186,5
Nakhu,AK,yes,366,14,yes,827,25
Ngenakubo,AK,yes,286,10,yes,147,4
Shongololo,AK,yes,174,9,No,342,14
Obsessie,BD,yes,253,15,No,203,12
Oerwoud,BD,yes,150,11,yes,39,2
Oortjies,BD,yes,287,10,yes,388,9
Oupa,BD,yes,98,13,No,61,4
Pomelo,BD,yes,139,8,yes,531,16
Teddibeer,BD,yes,237,23,No,34,1
Boeta,Boeta,yes,60,9,yes,59,3
Fielis,Boeta,yes,550,18,yes,214,8
Jokie,Boeta,yes,450,18,yes,114,4
Cowen,Cowen,yes,327,13,yes,264,10
Fielies,Cowen,yes,28,2,No,80,3
Jeff,Cowen,yes,185,15,No,23,2
Rainbow,Cowen,yes,443,29,yes,93,4
Aarhus,KB,yes,455,26,No,702,19
Yazoo,KB,yes,260,25,No,283,10
Leia,Liffie,yes,330,12,yes,192,7
Liffie,Liffie,yes,172,5,yes,121,4
Vusi,Liffie,yes,372,12,yes,215,7
Daartagnan,LT,yes,182,6,No,0,0
Dion,LT,yes,55,2,No,79,4
Gangtok,NH,yes,104,7,No,45,5
Gaya,NH,yes,142,7,yes,145,7
Granada,NH,yes,259,13,yes,90,3
Greenbay,NH,yes,558,49,No,43,2
Griffin,NH,yes,324,24,yes,90,3
Griselles,NH,yes,634,32,yes,85,2
Guatemala,NH,yes,593,44,No,19,2
Liffey,NH,yes,421,17,No,232,9
Ouagadougou,NH,yes,90,3,yes,240,8
Pratella,NH,yes,92,8,yes,76,3
Ulaanbaatar,NH,yes,62,3,yes,30,1
Xiashan,NH,yes,92,6,yes,126,6
Bright Eyes,Poena,yes,477,47,No,166,13
Fanjan,Poena,yes,250,19,yes,412,14
Gizmo,Poena,yes,185,15,yes,90,3
Poena,Poena,yes,424,13,yes,545,19